药,yào,medicine
要,yào,important
也,yě,also
已经,yǐ jīng,already
一起,yī qǐ,in the same place
意思,yì si,idea
阴,yīn,overcast (weather)
因为,yīn wèi,because
游泳,yóu yǒng,swimming
右边,yòu bian,right side
鱼,yú,fish
元,yuán,Chinese monetary unit
远,yuǎn,far
运动,yùn dòng,to move
再,zài,again
早上,zǎo shang,early morning
张,zhāng,to open up
长,zhǎng,chief
丈夫,zhàng fu,husband
找,zhǎo,to try to find
着,zhe,aspect particle indicating action in progress
真,zhēn,really
正在,zhèng zài,in the process of (doing something or happening)
知道,zhī dào,to know
准备,zhǔn bèi,preparation
自行车,zì xíng chē,bicycle
走,zǒu,to walk
最,zuì,most
左边,zuǒ bian,left
