1	曰
2	昌
3	晶
4	晘
5	曝
6	暻
7	明
8	暝
9	暧
10	盟
11	曌
12	晖
13	暖
14	冒
15	杲
16	晰
17	时
18	暕
19	炅
20	晱
21	影
22	颢
23	晃
24	暿
25	晌
26	眉
27	昄
28	曛
29	昴
30	剔
31	昕
32	星
33	昳
34	昇
35	昂
36	晷
37	旷
38	晙
39	晟
40	晡
41	昽
42	既
43	昈
44	即
45	昪
46	早
47	昧
48	暑
49	暄
50	晓
51	晏
52	晞
53	旯
54	映
55	堲
56	晁
57	旦
58	晅
59	晒
60	旴
61	旺
62	戥
63	晊
64	旰
65	昊
66	昙
67	晤
68	晨
69	昃
70	昺
71	量
72	是
73	冕
74	闉
75	暌
76	旸
77	昣
78	昤
79	晗
80	旿
81	题
82	匙
83	晔
84	韪
85	昨
86	晦
87	昒
88	昀
89	暅
90	昆
91	鹍
92	昫
93	曷
94	暳
95	晴
96	煦
97	冔
98	暇
99	昭
100	最
101	曜
102	昵
103	晪
104	显
105	暴
106	曦
107	暵
108	曔
109	旵
110	暨
111	塈
112	勖
113	郿
114	鱀
115	鹛
116	岊
117	艮
118	垦
119	曏
120	歇
121	恳
122	鹖
123	曙
124	曼
125	晫
126	暾
127	昉
128	旻
129	晾
130	曩
131	暶
132	昱
133	暗
134	曈
135	暲
136	昡
137	晐
138	月
139	腽
140	腥
141	幂
142	胆
143	肥
144	冥
145	朋
146	骨
147	脟
148	受
149	髅
150	骼
151	骺
152	骰
153	觅
154	骶
155	髀
156	髂
157	髌
158	骷
159	髋
160	爱
161	册
162	胴
163	脬
164	舜
165	骱
166	鹏
167	鹘
168	髎
169	髁
170	髃
171	髑
172	髓
173	骸
174	肸
175	罕
176	冏
177	脱
178	采
179	彩
180	肘
181	郛
182	膝
183	乳
184	炙
185	膛
186	脒
187	膦
188	胱
189	胖
190	賸
191	滕
192	縢
193	塍
194	螣
195	腾
196	媵
197	肚
198	氍
199	胠
200	脚
201	周
202	臌
203	膨
204	腺
205	脓
206	豺
207	胳
208	貌
209	貉
210	肜
211	貔
212	腯
213	貊
214	貆
215	冗
216	股
217	貅
218	豹
219	胜
220	貂
221	貘
222	见
223	臜
224	胝
225	胍
226	脾
227	舀
228	腴
229	膊
230	朘
231	脏
232	脯
233	胈
234	胧
235	脉
236	腑
237	悬
238	腻
239	胎
240	臁
241	虢
242	肺
243	脖
244	腩
245	膣
246	腔
247	肢
248	腙
249	腚
250	脘
251	腕
252	膑
253	胺
254	冈
255	谿
256	脎
257	然
258	肽
