563	豋
564	肐
565	脞
566	胣
567	膴
568	脢
569	脂
570	胊
571	胞
572	肫
573	胸
574	用
575	腠
576	膆
577	甩
578	胑
579	鵰
580	脭
581	彫
582	戙
583	雕
584	臊
585	翢
586	爭
587	鵩
588	豸
589	肕
590	腒
591	服
592	腛
593	膠
594	脹
595	凸
596	冊
597	腊
598	冪
599	膜
600	腆
601	朦
602	膉
603	膳
604	臟
605	朕
606	臙
607	朠
608	刪
609	頯
610	腜
611	臒
612	胼
613	岡
614	膿
615	膵
616	罔
617	目
618	睅
619	睼
620	瞷
621	矙
622	眼
623	瞑
624	瞬
625	睬
626	睭
627	睜
628	瞁
629	覞
630	貝
631	朡
632	瞈
633	盻
634	睇
635	盼
636	睞
637	睄
638	矘
639	瞠
640	眯
641	瞵
642	睒
643	眇
644	睠
645	睖
646	睦
647	眭
648	瞌
649	瞗
650	瞅
651	眅
652	矄
653	睥
654	眽
655	眨
656	睡
657	瞃
658	盺
659	颻
660	覹
661	瞛
662	睧
663	睋
664	眣
665	眊
666	睙
667	見
668	矏
669	繇
670	瞍
671	睨
672	眸
673	狊
674	眙
675	矌
676	眓
677	瞋
678	眛
679	睹
680	睫
681	瞚
682	眝
683	睆
684	睕
685	瞎
686	瞭
687	睎
688	眱
689	眈
690	瞣
691	瞶
692	蜰
693	眺
694	剛
695	眒
696	瞜
697	矐
698	盱
699	睚
700	盰
701	瞰
702	眄
703	眃
704	盯
705	瞟
706	瞫
707	眐
708	睌
709	矎
710	瞻
711	瞲
712	眵
713	眳
714	睽
715	瞪
716	膗
717	矍
718	瞧
719	眕
720	瞺
721	睔
722	睮
723	瞼
724	盵
725	瞴
726	眴
727	盷
728	盹
729	睛
730	瞡
731	睊
732	矂
733	眠
734	眧
735	眲
736	眶
737	矚
738	瞙
739	矇
740	瞨
741	眹
742	瞞
743	瞱
744	眻
745	矔
746	瞄
747	胐
748	矊
749	眑
750	鼎
751	睩
752	睏
753	矓
754	瞇
755	睟
756	瞳
757	瞕
758	瞝
759	盳
760	眩
761	妥
762	墾
763	鸚
764	膷
765	奚
766	郻
767	腞
768	懇
769	臘
770	腦
771	膕
772	胭
773	胛
774	腢
775	臅
776	腲
777	膃
778	腮
779	丹
780	腿
781	膼
782	朧
783	膀
784	鴅
785	彤
786	肮
787	膇
788	肪
789	膱
790	膟
791	刐
792	脺
793	腋
794	臄
795	臚
796	脝
797	腤
798	膧
799	雘
800	臆
801	臃
802	胘
803	胲
804	膻
805	臍
806	金
807	鈤
808	錩
809	鎤
810	鉭
811	鍚
812	銲
813	鍉
814	甑
815	鍆
816	鄫
817	鑭
818	錫
819	錕
820	鍻
821	鎉
822	鑤
823	鈀
824	銀
825	鏝
826	鈅
827	錋
828	鑀
829	鍋
830	鍘
831	鋝
832	錭
833	鍕
834	鉏
835	鍰
836	銅
837	鋤
838	錚
839	鋼
840	鉬
841	鋇
842	钁
843	鋧
844	鑫
845	鈆
846	銻
847	鋊
848	鉛
849	銳
850	鈖
851	釮
852	鈹
853	鈌
854	鋉
855	鍏
856	錸
857	鍊
858	錔
859	鐋
860	鎟
861	錣
862	鎃
863	釵
864	鈥
865	銷
866	鎖
867	鏿
868	钂
869	鏜
870	鋿
871	鎲
872	鐺
873	銤
874	鏻
875	錟
876	鑅
877	鐒
878	鈔
879	銧
880	鉡
881	錈
882	釷
883	錂
884	錴
885	銈
886	鐃
887	鉣
888	鎑
889	鑄
890	鋕
891	銡
892	鎱
893	鉑
894	錦
895	鍠
896	鉌
897	鏼
898	鍬
899	銹
900	鋓
901	鐇
902	鈑
903	鋒
904	鉻
905	鉖
906	銩
907	鋯
908	銑
909	鳻
910	鑗
911	釤
912	錍
913	鉚
914	鎦
915	銖
916	鍛
917	鍾
918	錘
919	銛
920	鍎
921	鍤
922	鑕
923	剃
924	釽
925	頒
926	釿
927	銗
928	釩
929	邠
930	攽
931	鏦
932	錉
933	鋨
934	鉎
935	鎢
936	鑽
937	鎳
938	鎴
939	鈲
940	鎞
941	鎪
942	銵
943	公
944	鋃
945	鎛
946	鋑
947	鏚
948	銊
949	鉾
950	鍼
951	鋮
952	鈗
953	錢
954	鏒
955	鎯
956	鋪
957	鉥
958	銶
959	鈸
960	鏞
961	鏮
962	銂
963	鎕
964	頌
965	瓮
966	銢
967	釴
968	鑣
969	鉽
970	鋱
971	鈶
972	翁
973	鐮
974	鍍
975	鏣
976	鉞
977	鏕
978	針
979	鎮
980	鋍
981	鎍
982	鎔
983	鐵
984	鏄
985	鏸
986	鍺
987	鋐
988	銠
989	銬
990	鏔
991	錝
992	鍹
993	鎵
994	鋎
995	鋺
996	鉈
997	鑏
998	鈷
999	錧
1000	鐼
1001	鑳
1002	銨
1003	釱
1004	爸
1005	銪
1006	鎩
1007	鐐
1008	鍷
1009	斧
1010	鈦
1011	錛
1012	鈽
1013	銌
1014	錼
1015	釜
1016	錡
1017	銙
1018	釚
1019	爹
1020	鋏
1021	爺
1022	丫
1023	鉠
1024	鈂
1025	釧
1026	鐀
1027	銚
1028	釗
1029	鐨
1030	鈾
1031	鏤
1032	鏽
1033	釭
1034	銆
1035	鑐
1036	顉
1037	鐳
1038	釪
1039	鑈
1040	鋄
